job_id,job_title,years_of_experience,annual_salary_usd,salary_min_usd,salary_max_usd,required_skills,ai_salary_premium_pct,demand_score,demand_growth_yoy_pct,benefits_score_10,posting_year,posting_month,is_senior,is_remote_friendly,is_llm_role,salary_tier,is_outlier_salary,high_demand,skill_count,is_tier1_city,is_china,education_score,job_category_Architecture,job_category_Business,job_category_Data Engineering,job_category_Data Science,job_category_Governance,job_category_Infrastructure,job_category_ML Operations,job_category_Product,job_category_Research,job_category_Robotics,job_category_Security,experience_level_Lead (10+ yrs),experience_level_Mid (3-5 yrs),experience_level_Senior (6-9 yrs),remote_work_Hybrid,remote_work_On-site,company_size_Enterprise (5000+),company_size_Mid-size (501-5000),company_size_SME (51-500),company_size_Startup (1-50),industry_Consulting,industry_Education,industry_Energy,industry_Finance,industry_Government,industry_Healthcare,industry_Manufacturing,industry_Media,industry_Research,industry_Retail,industry_Technology,country_Canada,country_China,country_France,country_Germany,country_Global,country_India,country_Japan,country_Netherlands,country_Singapore,country_Switzerland,country_UAE,country_UK,country_USA
AIJOB0001,AI Agent Developer,0.2931581591502299,239000.0,155000,290000,APIs|Planning Systems|Python|Cloud|SQL|Leadership,13.1,1.0564615713595351,16.9,6.8,2026,3,1,0,1,Senior ($200-300k),False,1,-0.269630453045569,0,0,0.7234333691969917,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
AIJOB0002,Prompt Engineer,-1.576472957879298,166000.0,90000,200000,Python|Documentation|LLM APIs|Prompt Design|NLP|Testing|Cloud,5.4,-0.6883825496432346,11.6,6.2,2026,1,1,1,1,Upper-Mid ($150-200k),False,0,0.46840910821055104,0,0,0.006689608433789785,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
AIJOB0003,LLM Engineer,-0.8286205110674868,360000.0,160000,300000,Vector DBs|Python|Prompt Engineering|Fine-tuning|Agile,9.1,1.3057250172170736,42.7,7.7,2026,1,1,1,1,Elite (>$300k),False,1,-1.007670014301689,0,0,-0.7100541523294122,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
AIJOB0004,Data Engineer (AI),-1.2025467344733924,161000.0,130000,220000,Feature Stores|Spark|ETL|Airflow|dbt|SQL|Python|Statistics|SQL|Communication,12.0,0.05940778792938089,6.7,9.5,2026,3,1,1,0,Upper-Mid ($150-200k),False,0,2.682527791978911,0,0,0.006689608433789785,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False
AIJOB0005,AI Product Manager,-0.45469428766158126,283000.0,140000,260000,Data Analysis|Stakeholder Mgmt|Agile|Cloud|Problem Solving|Statistics,9.4,-0.3144873808569269,17.3,8.9,2026,1,1,1,0,Senior ($200-300k),False,0,-0.269630453045569,0,0,-1.426797913092614,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
AIJOB0006,AI Agent Developer,-0.45469428766158126,155000.0,155000,290000,Planning Systems|Python|APIs|AutoGen|LangChain|Statistics|Git|Agile,8.0,1.0564615713595351,67.7,8.7,2026,1,0,0,1,Upper-Mid ($150-200k),False,1,1.206448669466671,0,0,-1.426797913092614,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
AIJOB0007,AI Security Engineer,-0.45469428766158126,197000.0,140000,260000,Risk Analysis|Cybersecurity|Python|ML Security|Red Teaming|Git,16.3,-0.9376459955007732,12.7,6.2,2026,1,0,1,0,Upper-Mid ($150-200k),False,0,-0.269630453045569,0,0,0.7234333691969917,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
AIJOB0008,Senior ML Engineer,0.2931581591502299,221000.0,180000,312000,LLM Fine-tuning|Distributed Systems|MLOps|Python|System Design|Agile|Cloud|Statistics,12.5,1.0564615713595351,33.1,6.2,2025,9,0,1,0,Senior ($200-300k),False,1,1.206448669466671,0,0,0.7234333691969917,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
AIJOB0009,NLP Engineer,-1.2025467344733924,145000.0,145000,290000,Python|Text Processing|BERT|Hugging Face|Communication|Agile|Research,8.1,0.4333029567156887,79.4,8.2,2025,8,0,1,0,Mid ($100-150k),False,1,0.46840910821055104,0,0,0.006689608433789785,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
AIJOB0010,Prompt Engineer,-0.8286205110674868,90000.0,90000,200000,Documentation|Prompt Design|Testing|NLP|LLM APIs|Python|Communication,6.1,-0.6883825496432346,15.5,7.1,2025,2,0,0,1,Entry (<$100k),False,0,0.46840910821055104,0,0,-1.426797913092614,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
